Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Nome,Recorde
"6' 2""",205 lbs.,"78""",Orthodox,"Jan 11, 1994",6.00,66%,12.00,33%,0.00,0%,0%,0.0,Mahamed Aly,4-1-0
"5' 4""",125 lbs.,--,Orthodox,"Oct 17, 1988",3.13,37%,6.07,42%,0.00,0%,0%,0.0,Estefani Almeida,7-3-0
"6' 0""",170 lbs.,"72""",Orthodox,"Dec 28, 1994",5.49,48%,14.27,43%,0.00,0%,0%,0.0,Vanilto Antunes,16-7-0
"5' 6""",115 lbs.,--,Orthodox,"Mar 05, 1989",1.07,39%,3.33,43%,0.50,33%,37%,0.0,Ericka Almeida,7-3-0
"5' 9""",125 lbs.,"67""",Switch,"Apr 07, 2005",2.74,60%,2.19,59%,0.00,0%,100%,0.0,Agulali,13-2-0
"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",2.90,40%,4.38,56%,2.26,41%,80%,0.3,Jim Alers,13-3-0 (1 NC)
"6' 2""",205 lbs.,--,Open Stance,"Jan 13, 1967",0.80,38%,3.10,43%,0.00,0%,50%,0.0,George Allen,13-19-2
"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",3.65,52%,2.59,56%,0.79,22%,87%,0.0,Magomed Ankalaev,21-2-1 (1 NC)
"5' 11""",154 lbs.,--,Southpaw,"May 09, 1983",0.97,58%,1.25,58%,2.54,41%,60%,4.0,Shinya Aoki,39-7-0 (1 NC)
"5' 7""",135 lbs.,"68""",Orthodox,"Oct 08, 1997",1.61,34%,3.73,36%,0.00,0%,41%,0.0,Bekzat Almakhan,12-3-0
"5' 10""",199 lbs.,--,Orthodox,"Mar 06, 1965",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Royce Alger,3-2-0
"6' 0""",155 lbs.,--,Orthodox,"Apr 16, 1986",1.17,12%,4.31,41%,0.80,50%,0%,0.0,Pat Audinwood,11-2-1
"6' 2""",265 lbs.,"80""",Orthodox,"Feb 25, 1993",8.44,50%,14.06,28%,0.00,0%,0%,0.0,Darion Abbey,9-5-0
"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",3.26,42%,2.77,63%,1.93,50%,66%,0.3,Viscardi Andrade,19-6-0
"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",2.37,45%,2.66,64%,0.93,47%,41%,0.7,Felipe Arantes,18-10-1 (2 NC)
--,185 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Chris Amarante,2-0-0
"5' 4""",125 lbs.,"62""",Orthodox,"Mar 13, 1996",2.65,40%,1.85,62%,1.64,31%,48%,1.4,Jesus Aguilar,12-3-0
"6' 0""",185 lbs.,"74""",Orthodox,"Jul 14, 1989",6.32,50%,10.11,38%,0.00,0%,0%,0.0,Leon Aliu,10-2-0
"6' 0""",170 lbs.,"74""",Orthodox,"Jun 30, 1983",2.34,47%,3.36,43%,2.37,80%,50%,1.8,Blas Avena,8-7-0 (1 NC)
"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981",1.28,49%,1.90,59%,0.62,50%,26%,0.0,Ben Alloway,18-8-0
"6' 0""",155 lbs.,--,,"Jun 06, 1985",1.67,36%,2.60,41%,0.00,0%,40%,5.0,Magno Almeida,10-3-0 (1 NC)
"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",4.32,41%,4.39,55%,2.92,36%,92%,0.5,Eddie Alvarez,29-6-0 (1 NC)
--,--,--,,"Dec 20, 1980",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Cyborg Abreu,0-0-0
"5' 8""",135 lbs.,"71""",Switch,"Jun 19, 1994",5.00,40%,11.25,25%,0.00,0%,0%,0.0,Ashiek Ajim,6-2-0
"5' 7""",135 lbs.,"68""",Orthodox,"May 11, 1988",2.81,42%,3.28,55%,0.63,37%,52%,0.2,Julia Avila,9-4-0
"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",3.22,42%,2.50,66%,1.65,39%,78%,0.2,Raphael Assuncao,28-10-0
"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",2.82,32%,5.12,57%,1.74,43%,75%,0.0,Alatengheili,17-10-2
"6' 1""",250 lbs.,--,Orthodox,"Aug 25, 1977",2.91,54%,6.26,26%,2.57,40%,33%,0.0,Gilbert Aldana,6-2-0
"5' 10""",155 lbs.,"72""",Orthodox,"Dec 08, 2000",2.72,44%,1.63,58%,2.12,43%,80%,0.3,Nurullo Aliev,11-0-0
"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992",2.05,40%,2.90,55%,0.64,20%,80%,0.0,Klidson Abreu,15-4-0 (1 NC)
"6' 1""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",3.56,42%,5.74,52%,1.40,71%,50%,0.8,John Allan,13-7-0 (1 NC)
"6' 1""",185 lbs.,"74""",Orthodox,"Mar 28, 1988",4.16,58%,2.32,48%,0.00,0%,60%,0.3,Cesar Almeida,7-1-0
"6' 2""",170 lbs.,--,,"Feb 27, 1980",5.74,34%,1.91,67%,0.00,0%,0%,0.0,Mauricio Alonso,13-7-0 (1 NC)
"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991",2.36,44%,6.06,38%,1.61,26%,20%,0.4,Sarah Alpar,9-6-0
"6' 5""",261 lbs.,"78""",Orthodox,"Jul 16, 1998",41.25,64%,7.50,71%,0.00,0%,0%,0.0,Steven Asplund,6-1-0
--,170 lbs.,--,,"Jan 29, 1993",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Gabriel Arges,0-0-0
"5' 4""",125 lbs.,"65""",Orthodox,"Jan 25, 1994",2.31,50%,1.99,53%,4.46,42%,44%,1.5,Asu Almabayev,23-3-0
"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990",4.83,47%,5.56,38%,2.27,50%,77%,0.4,Aleksandra Albu,3-2-0
--,185 lbs.,--,,"Sep 09, 1993",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Yaroslav Amosov,28-1-0
"6' 1""",251 lbs.,--,Orthodox,"Aug 05, 1981",2.47,42%,2.47,69%,0.65,100%,0%,0.0,Azunna Anyanwu,14-5-0
--,205 lbs.,--,Orthodox,"Oct 04, 1998",1.09,50%,7.64,50%,0.00,0%,0%,0.0,Angelo Antonio,1-4-0
"5' 8""",125 lbs.,"70""",Switch,"Jan 23, 1991",4.58,53%,3.82,53%,2.88,38%,63%,0.0,Victor Altamirano,12-5-0
"5' 10""",170 lbs.,--,Orthodox,"Dec 02, 1977",1.80,35%,2.83,50%,2.50,62%,83%,0.0,Romie Aram,7-1-0
"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",3.10,41%,3.62,57%,2.29,67%,92%,1.0,Yoshihiro Akiyama,14-6-0 (2 NC)
"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",1.93,38%,2.63,50%,2.00,68%,81%,0.9,Ildemar Alcantara,21-11-0
--,135 lbs.,--,,"Feb 16, 1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Kantharaj Agasa,12-3-0
"5' 11""",145 lbs.,"73""",Orthodox,"Jul 28, 1995",4.69,57%,2.87,56%,0.00,0%,60%,0.0,Lucas Alexander,8-5-0
"5' 5""",115 lbs.,--,Southpaw,"Jul 11, 1987",5.53,35%,24.47,33%,0.00,0%,100%,0.0,Maiara Amanajas dos Santos,7-3-0
"5' 6""",135 lbs.,--,,"Jul 31, 1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Asjabharan,7-6-0
"5' 8""",145 lbs.,"69""",Orthodox,"Sep 27, 2000",9.56,45%,7.79,54%,0.00,0%,57%,0.0,Michael Aswell Jr.,11-3-0
"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",3.59,53%,3.62,47%,1.56,42%,56%,1.1,Brendan Allen,26-7-0
"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",3.65,40%,3.04,64%,0.00,0%,100%,0.5,Zarrukh Adashev,4-4-0
"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",2.02,49%,1.20,61%,3.74,38%,31%,1.2,Ricardo Almeida,13-5-0
"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",3.51,48%,4.09,50%,1.75,24%,80%,0.1,Eryk Anders,17-9-0 (1 NC)
"5' 8""",125 lbs.,"69""",Orthodox,"Oct 31, 1993",2.27,32%,3.53,52%,0.00,0%,50%,0.0,Kai Asakura,21-6-0
"5' 7""",145 lbs.,"69""",Orthodox,"Aug 19, 1994",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Askar Askar,11-1-0
"6' 2""",185 lbs.,"80""",Orthodox,"Oct 07, 1997",4.27,48%,3.49,51%,0.49,33%,82%,0.0,Mansur Abdul-Malik,8-0-1
"5' 6""",160 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Lowell Anderson,0-1-0
--,155 lbs.,--,,"Jul 13, 1978",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Tom Aaron,5-3-0
"6' 0""",155 lbs.,"73""",Orthodox,"May 31, 1992",3.53,37%,3.59,58%,0.00,0%,50%,0.3,Jessin Ayari,16-6-0
"5' 10""",185 lbs.,--,,"Jan 01, 1972",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Edwin Aguilar,26-19-0 (1 NC)
"5' 9""",190 lbs.,--,Southpaw,"Dec 23, 1970",0.06,10%,2.45,32%,0.00,0%,0%,0.0,Gilles Arsene,1-1-0
"6' 0""",247 lbs.,"74""",Orthodox,"Dec 24, 1985",3.35,39%,5.82,35%,4.41,62%,100%,0.9,Cyril Asker,9-4-0
"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.82,45%,3.22,57%,0.37,35%,76%,0.2,Andrei Arlovski,34-24-0 (2 NC)
"5' 8""",135 lbs.,"67""",Orthodox,"Jun 27, 1990",3.42,38%,5.02,45%,0.38,20%,50%,0.4,Irina Alekseeva,5-4-0
--,--,--,,"Oct 24, 1994",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Fellipe Andrew,0-0-0
"5' 6""",145 lbs.,"68""",Orthodox,"Jan 21, 1997",1.60,29%,5.80,51%,0.00,0%,71%,0.0,Jin Aoi,14-6-1
"5' 6""",125 lbs.,"67""",Orthodox,"Oct 09, 1992",3.05,54%,2.80,57%,2.60,24%,66%,0.4,Askar Askarov,14-1-1
"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",5.88,51%,4.38,47%,1.03,50%,55%,0.1,Bill Algeo,18-9-0
"6' 0""",185 lbs.,--,,"Feb 10, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Fabio Aguiar,17-1-0
"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986",3.05,49%,2.82,35%,0.00,0%,50%,6.1,John Albert,6-5-0
"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",4.43,54%,3.62,52%,0.55,66%,45%,0.8,Mariya Agapova,10-5-0
"5' 7""",135 lbs.,"68""",Orthodox,"Sep 14, 1991",3.13,44%,3.13,58%,0.00,0%,57%,0.0,Jose Alday,14-6-1
"5' 11""",185 lbs.,--,Orthodox,"Nov 21, 1985",1.47,34%,2.67,54%,0.00,0%,25%,1.0,Karl Amoussou,27-7-2
"5' 9""",185 lbs.,--,Orthodox,"Jul 07, 1981",3.33,25%,10.00,57%,0.00,0%,0%,0.0,David Avellan,2-1-0
"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",1.36,19%,3.61,53%,0.00,0%,0%,0.0,Mostapha Al-Turk,6-6-0
"5' 7""",135 lbs.,"68""",Southpaw,"Aug 13, 1993",2.48,43%,3.44,50%,4.36,35%,55%,1.4,Dan Argueta,9-3-0 (2 NC)
"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984",3.64,49%,5.66,36%,4.33,55%,0%,0.9,Ben Askren,19-2-0 (1 NC)
"5' 8""",145 lbs.,--,,"May 09, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Pablo Alfonso,9-7-0
"5' 3""",115 lbs.,"68""",Orthodox,"Jun 24, 1995",2.43,50%,2.16,54%,2.16,36%,0%,3.8,Jaqueline Amorim,10-2-0
--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Anthony Alves,1-4-0
"5' 10""",255 lbs.,--,Southpaw,"Jun 19, 1983",1.35,40%,11.50,32%,0.00,0%,33%,0.0,Josh Appelt,15-7-0
"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",3.96,40%,4.81,52%,0.16,16%,78%,0.0,Kevin Aguilar,17-5-0
"6' 3""",237 lbs.,"79""",Orthodox,"Jun 26, 1991",2.25,66%,1.02,35%,6.66,62%,60%,2.0,Jailton Almeida,22-4-0
--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Joey Armstrong,5-2-0
"6' 0""",185 lbs.,"76""",Southpaw,"Dec 07, 1992",6.86,64%,5.47,41%,3.20,60%,100%,0.5,Ikram Aliskerov,17-2-0
"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",2.08,55%,4.21,40%,5.08,36%,0%,1.4,Gadzhimurad Antigulov,20-8-0
"6' 2""",315 lbs.,--,Southpaw,"Jan 26, 1970",0.83,29%,3.76,40%,3.13,57%,100%,0.8,Jimmy Ambriz,17-21-1
"6' 1""",230 lbs.,--,Orthodox,"Mar 12, 1979",0.87,41%,3.14,49%,1.00,33%,0%,0.0,Bazigit Atajev,17-1-0
"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979",0.69,11%,4.56,42%,0.00,0%,0%,0.0,Nick Agallar,24-6-0
"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988",3.17,41%,5.93,44%,0.00,0%,0%,0.0,Anthony Adams,8-2-0
"5' 4""",115 lbs.,"64""",Orthodox,"May 08, 1996",5.83,31%,9.25,44%,0.00,0%,0%,0.0,Patricia Alujas,9-3-0
"5' 7""",135 lbs.,"69""",Orthodox,"Jun 25, 1993",4.69,49%,5.47,48%,1.20,46%,58%,0.0,Aoriqileng,26-12-0 (1 NC)
"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988",2.73,40%,4.53,56%,1.00,33%,50%,0.0,Jaime Alvarez,6-1-0
"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977",3.52,36%,2.85,62%,0.33,20%,81%,0.0,Daniel Acacio,30-18-0
"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",0.99,30%,3.85,46%,0.00,0%,0%,0.0,Alen Amedovski,8-4-0
"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986",4.38,43%,4.32,51%,1.00,37%,42%,0.0,Abu Azaitar,14-4-1
"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",1.41,45%,2.20,56%,1.76,38%,100%,0.0,Sultan Aliev,15-3-0
"6' 0""",235 lbs.,--,Orthodox,"Jul 14, 1971",0.89,37%,3.25,47%,0.00,0%,0%,0.0,Sean Alvarez,4-3-0
"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",3.23,58%,3.75,45%,1.83,16%,75%,0.0,Shinsho Anzai,10-3-0
"5' 6""",240 lbs.,--,,"Jul 16, 1974",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Andy Anderson,0-1-0
"6' 5""",255 lbs.,"78""",Orthodox,"Apr 11, 1993",7.63,67%,3.62,56%,2.62,80%,100%,1.3,Tom Aspinall,15-3-0 (1 NC)
"5' 11""",145 lbs.,"71""",Orthodox,"Jan 31, 1991",4.94,39%,5.36,44%,0.00,0%,53%,0.0,Lucas Almeida,15-5-0
"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1993",4.78,55%,3.07,54%,0.19,33%,47%,1.1,Joel Alvarez,23-3-0
"5' 3""",115 lbs.,"62""",Orthodox,"Apr 19, 1992",7.35,45%,5.20,62%,1.00,44%,85%,0.0,Alice Ardelean,11-7-0
"5' 6""",145 lbs.,--,Orthodox,"Feb 09, 1970",1.71,36%,3.11,63%,0.00,0%,33%,0.0,Hiroyuki Abe,8-15-3 (1 NC)
"6' 3""",185 lbs.,"75""",Orthodox,"Jan 13, 1995",3.00,52%,6.53,31%,1.00,20%,50%,0.0,Liam Anderson,6-3-0
"5' 7""",125 lbs.,"67""",Southpaw,"Mar 22, 2004",1.92,41%,5.75,27%,0.00,0%,0%,0.0,John Dave Almanza,6-1-0
"5' 3""",145 lbs.,--,,"Jun 10, 1970",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Alfonso Alcarez,1-3-1
"5' 11""",185 lbs.,--,Orthodox,"Apr 27, 1984",3.79,31%,3.98,68%,2.13,42%,100%,0.7,Ricardo Abreu,5-1-0
"6' 0""",225 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Scott Adams,8-1-0
"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988",0.50,46%,2.02,30%,0.00,0%,53%,0.0,Amilcar Alves,15-12-0
"6' 2""",185 lbs.,"75""",Orthodox,"Sep 11, 1989",1.84,44%,8.97,43%,0.00,0%,50%,0.0,Hashem Arkhagha,6-1-0
