Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Nome,Recorde
"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974",0.59,45%,2.58,55%,0.00,0%,8%,0.5,Hitomi Akano,18-10-0
"5' 8""",145 lbs.,--,,"Oct 15, 1981",1.53,46%,2.73,51%,0.00,0%,50%,1.0,Art Arciniega,15-7-0
"5' 8""",145 lbs.,"69""",Orthodox,"Feb 13, 1995",2.00,26%,4.13,56%,0.00,0%,66%,0.0,Khusein Askhabov,23-1-0
"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991",3.84,65%,6.66,23%,2.06,50%,42%,0.0,Herdem Alacabek,5-1-0
"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988",3.03,46%,3.52,52%,0.44,18%,65%,0.7,Scott Askham,14-4-0
"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",2.72,34%,3.71,61%,1.39,32%,50%,0.5,Amir Albazi,17-2-0
"5' 10""",155 lbs.,"74""",Orthodox,"Aug 18, 1973",1.42,33%,2.27,59%,1.69,27%,27%,1.3,Marcus Aurelio,22-10-0
"5' 11""",170 lbs.,"76""",Switch,"May 03, 2000",1.66,83%,0.33,75%,4.97,50%,50%,5.0,Mohamed Ado,5-1-0
"5' 11""",200 lbs.,--,Orthodox,"May 14, 1974",0.20,36%,2.60,53%,0.00,0%,25%,0.8,Alex Andrade,10-5-0
"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979",2.21,50%,2.72,46%,2.83,50%,57%,0.4,Dylan Andrews,18-7-0 (1 NC)
"5' 9""",135 lbs.,"74""",Southpaw,"Jan 15, 1996",0.73,33%,2.89,45%,1.16,20%,33%,0.6,Nick Aguirre,7-2-0
"5' 11""",185 lbs.,"72""",Orthodox,"Jan 04, 1991",3.04,48%,3.95,50%,1.22,50%,62%,0.8,Warlley Alves,15-8-0
"6' 1""",185 lbs.,"73""",Switch,"Dec 27, 1989",7.27,61%,6.80,28%,0.00,0%,100%,0.0,Teddy Ash,14-5-0
"6' 2""",265 lbs.,"72""",Southpaw,"Jan 22, 1993",4.27,55%,3.67,51%,3.25,65%,100%,0.0,Hamdy Abdelwahab,7-1-0 (1 NC)
"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",3.98,51%,6.08,52%,1.54,37%,100%,0.0,Junior Albini,14-6-0
"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Sam Adkins,7-20-2
"5' 10""",170 lbs.,"72""",Orthodox,"Sep 01, 1982",1.62,47%,2.01,58%,2.12,36%,100%,5.3,Matt Arroyo,3-3-0
"5' 7""",145 lbs.,"68""",Orthodox,"Jan 13, 1989",3.56,38%,3.77,53%,0.00,0%,33%,0.0,Angga,13-3-0
--,145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Ahejiang Ailinuer,15-3-0
"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",1.33,44%,2.98,46%,3.96,43%,35%,1.1,Makwan Amirkhani,17-9-0
--,155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Reza Arianto,5-0-0
"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",2.54,37%,4.04,48%,0.00,0%,60%,0.0,Christian Aguilera,14-8-0
"6' 3""",161 lbs.,--,Orthodox,"Jun 25, 1981",0.76,45%,1.97,27%,2.28,11%,0%,0.0,Luciano Azevedo,17-9-1
"5' 11""",185 lbs.,--,Southpaw,"Jun 30, 1978",2.80,55%,3.15,48%,3.47,57%,50%,1.3,Papy Abedi,10-4-0
"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",5.19,39%,6.64,56%,0.15,50%,77%,0.2,Irene Aldana,15-8-0
"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",1.61,45%,2.89,42%,0.35,20%,66%,0.7,Marcio Alexandre Junior,17-4-0
"6' 1""",170 lbs.,--,,"May 17, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Levi Avera,18-15-0
"5' 8""",155 lbs.,"71""",Switch,"Feb 20, 1990",4.43,44%,4.11,52%,0.00,0%,100%,0.0,Ottman Azaitar,13-3-0
"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982",5.73,52%,5.00,69%,0.00,0%,100%,0.0,Adam Antolin,12-3-0
"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993",4.59,48%,5.54,51%,2.28,66%,100%,0.0,Collin Anglin,8-3-0
"5' 10""",185 lbs.,"72""",Orthodox,"Jun 06, 1996",8.92,68%,6.49,38%,12.16,100%,0%,0.0,Eli Aronov,6-1-0
"5' 10""",170 lbs.,--,Orthodox,"Jan 20, 1969",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Marcelo Aguiar,2-3-1
"6' 0""",155 lbs.,--,,"Feb 02, 1990",3.97,37%,3.08,61%,0.34,14%,60%,0.0,Derek Anderson,14-3-0 (1 NC)
"6' 2""",205 lbs.,--,Orthodox,"May 14, 1982",3.27,39%,3.14,60%,0.65,14%,57%,0.0,Razak Al-Hassan,13-5-0
--,185 lbs.,--,Orthodox,--,0.32,13%,3.34,25%,0.00,0%,0%,0.0,Israel Albuquerque,0-3-0
"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",3.73,41%,3.42,62%,0.71,60%,63%,0.3,Thiago Alves,23-15-0
"5' 10""",185 lbs.,--,Orthodox,--,1.56,20%,2.08,75%,0.00,0%,0%,0.0,Mike Altman,1-4-0
"6' 0""",205 lbs.,--,Orthodox,"Mar 31, 1973",2.87,50%,3.50,58%,0.67,20%,40%,0.0,Reese Andy,7-3-0
"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",1.80,25%,3.97,57%,1.00,40%,87%,0.0,Rostem Akman,6-2-0
"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",7.09,55%,4.06,34%,0.91,66%,57%,0.0,Juan Adams,5-3-0
"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.43,46%,2.22,59%,4.89,50%,83%,0.0,Corey Anderson,14-5-0
"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",4.36,36%,3.05,68%,0.46,28%,96%,0.3,Julio Arce,19-6-0
"5' 9""",145 lbs.,"70""",Switch,"May 28, 1990",5.81,52%,3.95,51%,0.56,18%,65%,0.8,Hyder Amil,11-2-0
"5' 10""",170 lbs.,"72""",Orthodox,"Jun 16, 1977",2.28,47%,2.13,59%,0.74,37%,75%,0.0,Rich Attonito,10-5-0
"5' 6""",135 lbs.,"64""",Orthodox,"Dec 01, 1986",3.11,46%,2.76,53%,0.68,30%,38%,0.5,Chad Anheliger,13-8-0
"5' 10""",145 lbs.,--,Orthodox,"Jan 16, 1993",2.37,30%,4.17,48%,0.00,0%,46%,0.0,Chris Avila,5-4-0
"5' 11""",205 lbs.,--,Orthodox,"Jul 17, 1978",1.66,48%,1.15,57%,2.41,48%,58%,1.2,Ricardo Arona,14-5-0
"6' 3""",250 lbs.,--,,"Jun 10, 1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Amir Aliakbari,10-1-0
"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",6.37,48%,5.58,54%,2.10,54%,75%,0.3,Jessica Andrade,26-15-0
"6' 2""",185 lbs.,"75""",Southpaw,"May 06, 1986",3.28,44%,3.63,52%,0.06,14%,82%,0.1,Sam Alvey,33-18-1 (1 NC)
"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990",1.76,46%,3.35,37%,0.52,25%,53%,0.5,Megan Anderson,11-5-0
"6' 0""",170 lbs.,"74""",Orthodox,"Dec 27, 1996",6.97,62%,2.11,50%,0.00,0%,100%,0.0,Christopher Alvidrez,7-1-0
"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",2.97,34%,2.84,55%,2.58,45%,65%,0.2,Omari Akhmedov,21-6-1
"5' 1""",115 lbs.,"58""",Orthodox,"Oct 17, 1990",2.91,37%,3.36,55%,3.02,26%,66%,0.6,Talita Alencar,7-1-1
"6' 3""",251 lbs.,--,,"Mar 28, 1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Jose Augusto,6-2-0 (1 NC)
"5' 10""",170 lbs.,--,Orthodox,"Feb 06, 1987",3.16,69%,6.32,33%,0.00,0%,50%,0.0,JJ Ambrose,28-7-0 (2 NC)
"5' 7""",125 lbs.,--,,--,3.20,36%,1.92,65%,0.00,0%,40%,0.0,Veta Arteaga,3-1-0
"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",2.72,45%,2.79,49%,1.44,62%,60%,0.8,Iuri Alcantara,35-10-0 (1 NC)
"5' 8""",145 lbs.,"69""",Orthodox,"Mar 02, 1992",3.92,53%,2.08,58%,1.97,34%,67%,1.3,Hunter Azure,9-2-0
"5' 7""",145 lbs.,--,,"Dec 29, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Anthony Avila,13-5-0
"5' 9""",154 lbs.,--,Orthodox,"Jun 10, 1976",2.16,39%,2.76,57%,1.07,50%,45%,0.3,Luiz Azeredo,15-10-0
"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",3.06,54%,3.20,52%,1.19,57%,33%,0.0,Houston Alexander,17-15-1 (2 NC)
"5' 8""",155 lbs.,"68""",Orthodox,"Nov 14, 1990",1.85,48%,3.30,58%,0.29,25%,44%,1.5,Rafael Alves,20-12-0
"6' 2""",230 lbs.,--,Southpaw,"May 29, 1971",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Matt Andersen,14-8-1
"5' 4""",145 lbs.,"68""",Southpaw,"Apr 26, 1990",0.93,19%,4.93,50%,0.00,0%,0%,0.0,Tatsuya Ando,14-4-1
"6' 3""",205 lbs.,--,Orthodox,"Jul 23, 1991",4.62,78%,1.86,50%,4.47,50%,60%,1.1,Julius Anglickas,5-1-0
"6' 1""",170 lbs.,"77""",Orthodox,"Dec 06, 1980",1.52,42%,2.86,49%,0.86,15%,22%,0.6,Igor Araujo,25-9-0 (1 NC)
"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",3.59,38%,5.08,59%,0.93,100%,0%,0.0,Hector Aldana,4-3-0
"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1977",0.88,19%,2.20,66%,4.71,26%,0%,0.0,Kenneth Alexander,7-6-0 (1 NC)
"5' 6""",135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Javi Alanis,0-4-0
"5' 6""",125 lbs.,--,,"Jan 14, 1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Arman Ashimov,11-3-1
"5' 9""",155 lbs.,"69""",Orthodox,"Mar 31, 1995",2.88,50%,4.78,50%,3.24,38%,64%,0.0,Yanal Ashmouz,8-2-0
"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994",3.00,20%,5.67,46%,0.00,0%,66%,0.0,Nariman Abbasov,28-4-0
"6' 1""",265 lbs.,--,,"Aug 20, 1988",0.83,25%,5.00,33%,0.00,0%,0%,0.0,Javy Ayala,10-5-0
"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",2.10,39%,2.91,54%,1.85,38%,70%,1.2,John Alessio,35-17-0 (2 NC)
--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Levi Alford,1-7-0
"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",2.43,42%,1.97,56%,3.50,29%,60%,1.0,Ali AlQaisi,8-5-0
"5' 10""",170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Rico Altamirano,4-3-0
"6' 2""",185 lbs.,--,Orthodox,"May 23, 1992",1.27,43%,3.20,36%,2.00,50%,66%,1.0,Bruno Assis,8-4-0
--,155 lbs.,--,,"Mar 06, 1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Tristan Arenal,7-4-0
"5' 7""",200 lbs.,--,Orthodox,"Jul 16, 1973",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Jermaine Andre,14-4-0
"5' 10""",188 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Wes Albritton,0-1-0
"6' 2""",170 lbs.,--,Orthodox,"Aug 06, 1974",1.65,38%,4.77,53%,0.37,7%,22%,0.7,Olaf Alfonso,8-12-0
"5' 11""",155 lbs.,--,Orthodox,"Jan 31, 1991",5.37,45%,5.20,56%,7.32,75%,0%,2.4,Cesar Arzamendia,8-3-0
"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965",1.35,30%,3.55,38%,1.07,33%,66%,0.0,David Abbott,10-15-0
"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",2.41,44%,3.02,55%,1.01,23%,45%,0.1,Shamil Abdurakhimov,20-8-0
"5' 9""",155 lbs.,"70""",Southpaw,"Feb 23, 1989",2.48,51%,2.97,55%,2.36,33%,70%,0.5,Olivier Aubin-Mercier,11-5-0
"6' 3""",185 lbs.,"73""",Orthodox,"Jul 01, 1989",2.82,66%,2.02,50%,1.14,41%,41%,0.2,Antonio Arroyo,9-5-0
"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991",4.84,43%,4.93,61%,0.17,14%,75%,0.0,Thomas Almeida,22-5-0
"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",3.96,47%,4.32,61%,0.75,26%,67%,0.0,JJ Aldrich,14-7-0
"6' 0""",154 lbs.,--,Orthodox,"Oct 09, 1983",2.27,24%,5.91,63%,0.00,0%,20%,0.0,Andre Amado,6-4-1
--,145 lbs.,--,,"Jun 15, 2003",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Hamid Amiri,9-0-0
--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Juan Alcain,1-2-0
"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",4.02,48%,3.20,55%,0.05,11%,76%,0.1,Israel Adesanya,24-5-0
"5' 4""",125 lbs.,"68""",Orthodox,"Nov 21, 1986",3.84,47%,4.83,55%,1.72,43%,75%,0.6,Viviane Araujo,13-7-0
"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",2.32,45%,4.01,56%,1.07,100%,33%,0.4,Akbarh Arreola,23-11-1
"5' 11""",155 lbs.,--,,"Jun 07, 1983",2.13,26%,1.87,60%,0.50,16%,100%,0.5,Saad Awad,20-9-0
"5' 9""",155 lbs.,--,Orthodox,"Dec 25, 1980",2.87,33%,6.33,59%,0.00,0%,71%,0.0,Mike Aina,14-6-1 (1 NC)
"6' 0""",170 lbs.,--,Orthodox,"Aug 26, 1977",0.00,0%,0.54,81%,0.00,0%,0%,8.1,Erik Apple,10-3-0
"5' 9""",145 lbs.,"72""",Orthodox,"Jun 24, 1981",3.31,62%,2.06,44%,2.43,24%,66%,0.7,Junior Assuncao,16-6-0
"6' 3""",205 lbs.,"77""",Orthodox,"Apr 23, 1996",5.09,47%,3.47,59%,0.00,0%,86%,0.0,Ibo Aslan,14-3-0
"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983",3.29,38%,4.41,57%,0.00,0%,77%,0.0,Danny Abbadi,4-6-0
"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",4.93,50%,7.19,53%,0.94,25%,50%,0.2,Jessica Aguilar,20-8-0
"5' 8""",190 lbs.,--,Orthodox,"May 28, 1966",6.75,39%,2.01,83%,0.00,0%,0%,0.0,Bertrand Amoussou,1-1-0
"5' 8""",155 lbs.,"69""",Orthodox,"Apr 10, 1995",4.14,34%,3.60,59%,2.32,30%,20%,0.0,Abdul-Kareem Al-Selwady,15-4-0
"5' 9""",170 lbs.,"75""",Orthodox,"Jun 22, 1991",3.90,52%,6.28,44%,0.00,0%,0%,0.0,John Adajar,6-2-0
"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",3.65,46%,3.81,60%,0.47,51%,92%,0.1,Jose Aldo,32-10-0
"5' 6""",135 lbs.,"70""",Orthodox,"Oct 09, 1996",5.35,53%,3.64,56%,1.10,50%,64%,0.6,Garrett Armfield,10-5-0
"6' 0""",155 lbs.,"75""",Southpaw,"Aug 10, 1992",7.60,51%,5.87,53%,2.00,66%,100%,0.0,Daniel Allen,5-0-0
"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",3.45,41%,2.88,61%,0.93,47%,75%,0.3,Arnold Allen,20-3-0
"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",3.80,33%,4.49,56%,0.33,50%,0%,0.0,Daichi Abe,6-2-0
"5' 11""",205 lbs.,--,Orthodox,"Mar 28, 1967",0.00,0%,3.13,25%,0.00,0%,0%,0.0,Yoji Anjo,0-5-1
--,225 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Brett Albee,3-2-0
"5' 11""",205 lbs.,--,Orthodox,"May 28, 1975",1.56,34%,1.63,56%,3.05,75%,37%,1.0,Chalid Arrab,7-3-0
"5' 10""",145 lbs.,--,Southpaw,"Oct 05, 1979",8.79,27%,10.29,39%,0.00,0%,0%,0.0,Kenji Arai,15-15-5
"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",3.29,47%,0.82,78%,5.84,56%,100%,0.0,Adlan Amagov,14-2-1
"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991",4.52,41%,6.38,62%,0.44,18%,57%,0.2,Austin Arnett,16-6-0
